Year,Period,labor force,employment,unemployment,unemployment rate
1990,Annual,750667,724206,26461,3.5
1991,Annual,759105,717264,41841,5.5
1992,Annual,771920,726498,45422,5.9
1993,Annual,787188,748183,39005,5.0
1994,Annual,805753,774268,31485,3.9
1995,Annual,824729,795240,29489,3.6
1996,Annual,857857,825051,32806,3.8
1997,Annual,877050,848260,28790,3.3
1998,Annual,883678,858573,25105,2.8
1999,Annual,915269,890553,24716,2.7
2000,Annual,939823,907432,32391,3.4
2001,Annual,959985,910563,49422,5.1
2002,Annual,963248,903300,59948,6.2
2003,Annual,981822,917519,64303,6.5
2004,Annual,982153,924669,57484,5.9
2005,Annual,1000379,946470,53909,5.4
2006,Annual,1044558,992932,51626,4.9
2007,Annual,1068672,1015144,53528,5.0
2008,Annual,1087868,1017245,70623,6.5
2009,Annual,1092792,962926,129866,11.9
2010,Annual,1141150(R),1007365(R),133785(R),11.7(R)
2011,Annual,1153878(R),1031207(R),122671(R),10.6(R)
2012,Annual,1173837(R),1065187(R),108650(R),9.3(R)
2013,Annual,1183153(R),1090236(R),92917(R),7.9(R)
2014,Annual,1203212(R),1129094(R),74118(R),6.2(R)
2015,Annual,1240682(R),1172572(R),68110(R),5.5(R)
2016,Annual,1282614(R),1221702(R),60912(R),4.7(R)
